,funny,posted,item_id,recommend,user_id,sentiment_analysis
0,,05/11/2011,1250,True,76561197970982479,2
1,,15/07/2011,22200,True,76561197970982479,2
2,,21/04/2011,43110,True,76561197970982479,2
3,,24/06/2014,251610,True,js41637,2
4,,08/09/2013,227300,True,js41637,2
5,,29/11/2013,239030,True,js41637,2
6,,03/02,248820,True,evcentric,2
7,,04/12/2015,370360,True,evcentric,2
8,,03/11/2014,237930,True,evcentric,2
9,,15/10/2014,263360,True,evcentric,1
10,,15/10/2014,107200,True,evcentric,2
11,,15/10/2014,224500,True,evcentric,2
12,,14/10/2013,250320,True,doctr,2
13,,28/07/2012,20920,True,doctr,2
14,,02/06/2012,204100,True,doctr,2
15,,29/06/2014,224600,True,doctr,2
16,,22/11/2012,207610,True,doctr,0
17,,23/02/2012,108710,True,doctr,2
18,3 people found this review funny,15/04/2014,211420,True,maplemage,1
19,1 person found this review funny,23/12/2013,211820,True,maplemage,2
20,2 people found this review funny,14/03/2014,730,True,maplemage,2
21,,11/07/2013,204300,True,maplemage,2
22,,05/05/2014,249130,True,Wackky,1
23,,24/12/2012,207610,True,Wackky,1
24,1 person found this review funny,21/10/2012,550,True,Wackky,2
25,,20/03/2012,65800,True,Wackky,2
26,,09/03/2012,220,True,Wackky,2
27,1 person found this review funny,20/05,730,True,76561198079601835,1
28,,24/07,730,True,MeaTCompany,2
29,5 people found this review funny,01/02/2015,72850,True,76561198089393905,0
30,1 person found this review funny,20/06/2014,440,True,76561198089393905,1
31,,16/06,252950,True,76561198156664158,2
32,,11/06,440,True,76561198077246154,1
33,,25/08/2014,304930,True,76561198077246154,1
34,,25/12/2013,4000,True,WeiEDKrSat,1
35,,23/06/2012,42910,True,thequeenpanda,1
36,,05/09/2015,232090,True,death-hunter,2
37,,30/03/2015,1250,True,death-hunter,2
38,,19/02/2014,4000,True,death-hunter,2
39,,14/07/2014,304930,True,DJKamBer,2
40,,27/04/2013,570,True,DJKamBer,2
41,1 person found this review funny,20/07/2015,218620,True,DJKamBer,2
42,,04/11/2013,224260,True,DJKamBer,2
43,,12/07/2013,1250,True,DJKamBer,0
44,,19/08/2012,440,True,DJKamBer,2
45,,19/06/2015,730,True,Rainbow-Dashie,2
46,,20/09/2014,440,True,Rainbow-Dashie,2
47,,07/09/2014,49520,True,Rainbow-Dashie,1
48,,19/12/2014,33440,False,76561198043472122,1
49,17 people found this review funny,17/02/2015,220200,True,MarbleShrine,2
50,,07/06/2014,211820,True,PPanther,2
51,,12/02/2014,440,True,devvonst,2
52,,09/02/2014,218740,True,devvonst,2
53,,31/10/2015,550,True,devvonst,2
54,,27/02,220,True,Fr0stedLine,2
55,,04/02/2015,238090,True,starkillershadow553,0
56,,23/08,242130,True,starkillershadow553,0
57,,05/04/2014,277430,True,starkillershadow553,2
58,,08/01/2015,8870,True,76561198058373434,2
59,,26/10/2015,368230,True,76561198048353577,0
